word,type
Tongue,object
Tonic,object
Toolbox,object
Tooth,object
Tooth Fairy,humanoid
Toothbrush,object
Toothpaste,object
Toothpick,object
Top Hat,object
Torch,object
Tornado,other
Torpedo,object
Tortilla,object
Tote Bag,object
Tots,human
Toucan,animal
Toupee,object
Tour Guide,human
Tourist,human
Tow Truck,object
Towel,object
Towel Rack,object
Tower,object
Town Hall,object
Townhouse,object
Toy Chest,object
Toy Store,object
Tracksuit,object
Tractor,object
Trading Card,object
Traffic Barrel,object
Traffic Lights,object
Trail Mix,object
Trailer,object
Trailer Park,object
Train,object
Train Car,object
Train Conductor,human
Train Engineer,human
Train Station,object
Train Whistle,object
Trampoline,object
Tranquilizer,object
Transcript,object
Transformer,humanoid
Transmission,object
Transmission Tower,object
Transmitter,object
Trapdoor,object
Trapeze,object
Trapezoid,object
Tray,object
Treadmill,object
Treasury,other
Tree,object
Tree Frog,animal
Tree House,object
Tree Stump,object
Tree Topper,object
Tree Trunk,object
Triangle (Music),object
Triangle (Shape),object
Triceratops,animal
Tricycle,object
Trident,object
Tripod,object
Trojan Horse,object
Trombone,object
Trophy,object
Trough,object
Truck,object
Trucker,human
Truffle,object
Trumpet,object
Trumpeter,human
Tsar,human
Tsetse Fly,animal
Tsunami,other
Tuba,object
Tube,object
Tumbleweed,object
Tumour,object
Tuna (Fish),animal
Tuna Salad,object
Tuna Sandwich,object
Tunic,object
Tuning Fork,object
Tunnel,object
Turban,object
Turbine,object
Turkey (Bird),animal
Turnip,object
Turnstile,object
Turntable,object
Turret,object
Turtle,animal
Turtle Hatchling,animal
Turtle Neck,object
Turtle Shell,object
Tusk (Bone),object
Tusks,object
Tutu,object
Tuxedo,object
TV,object
TV Stand,object
Tweezers,object
Twin (Person),human
Twins,human
Two,other
Typewriter,object
Ukelele,object
Ultrasound Machine,object
Umbrella,object
Umpire,human
Unicorn,humanoid
Unicycle,object
Uranium,object
Uranus,other
Urinal,object
Urn,object
Used Car Salesman,human
Used Car Saleswoman,human
Utility Belt,object
Valentine,human
Valet,human
Valley,object
Valve,object
Vampire,humanoid
Van,object
Vanilla,object
Vanilla Wafer,object
Vanity,object
Vase,object
Vegan,human
Vegetable Stand,object
Vegetarian,human
Veil,object
Velvet,object
Velvet Rope,object
Vending Machine,object
Venison,object
Vent,object
Ventilator,object
Venus,other
Venus Flytrap,object
Vertical Blinds,object
Vest,object
Vet,human
VHS,object
Vice President,human
Video game,object
Video Game Store,object
Video Store,object
Vigilante,human
Viking,human
Viking Helmet,object
Villain,human
Vine,object
Vinegar,object
Vineyard,object
Vintage Car,object
Vintage Radio,object
Violin,object
Violinist,human
Viper,animal
Virgo (Stars),other
Vise,object
Volcano,object
Volleyball,object
Volleyball Court,object
Volleyball player,human
Vomit,other
Voodoo Doll,object
Voucher,object
VR Headset,object
Vulture,animal
Waffle,object
Waffle Iron,object
Wagon (Traditional),object
Waiter,human
Walk Sign,object
Walk Signal,object
Walker,object
Walkie Talkie,object
Wall,object
Wallet,object
Wallpaper,object
Walnut,object
Walnut Tree,object
Walrus,animal
Wand,object
Wanted Poster,object
War,other
Warehouse,object
Warrant,other
Warranty,other
Warrior,human
Wart,object
Wasabi,object
Washboard,object
Washcloth,object
Washer (Appliance),object
Washer (Hardware),object
Wasp,animal
Watch,object
Water Bomb,object
Water Bottle,object
Water Cooler,object
Water Fountain,object
Water Gun,object
Water Heater,object
Water Park,object
Water Pump,object
Water Ski,object
Water Spout,object
Water Tower,object
Water Treatment Plant,object
Water Wheel,object
Waterbed,object
Waterboy,human
Waterfall,object
Watering Can,object
Watermelon,object
Wax,object
Weasel,animal
Weather Vane,object
Weaver,human
Web Cam,object
Webbed Feet,other
Wedding,other
Wedding cake,object
Wedding Dress,object
Wedding Planner,human
Wedge (Tool),object
Weed,object
Weed Wacker,object
Well,object
Werewolf,humanoid
Wetfloor Sign,object
Wetsuit,object
Whale,animal
Whale shark,animal
Wheat,object
Wheel,object
Wheelbarrow,object
Wheelchair,object
Whip,object
Whipped Cream,object
Whirlpool,object
Whisk,object
Whisker,object
Whistle,object
White Board,object
White Sauce,object
Whoopee Cushion,object
Wick,object
Wig,object
Wildebeest,animal
Willow Tree,object
Winch,object
Wind Chime,object
Wind Farm,object
Wind Turbine,object
Windmill,object
Window,object
Window Blinds,object
Window Cleaner,object
Window Fan,object
Window Sill,object
Windscreens,object
Windsurfer (Human),human
Wing,object
Wings,object
Wire (String),object
Wire Cutter,object
Wishbone,object
Wisp,other
Wisteria,other
Witch,humanoid
Witch Hat,object
Witch's Wand,object
Wizard,human
Wizard Hat,object
Wizard Staff,object
Wolf,animal
Wolf Cub,animal
Wolverine,animal
Woman,human
Wombat,animal
Wonder Woman,human
Wood,object
Wood Chip,object
Wood Chipper,object
Wooden Cage,object
Wooden Gate,object
Wooden Spoon,object
Woodpecker,animal
Wool,object
Workbench,object
Worm,animal
Wrapper,object
Wrapping Paper,object
Wreath,object
Wrecking Ball,object
Wrench,object
Wrestler,human
Wrist,other
Wristband,object
X-Ray (Machine),object
Xylophone,object
Yacht,object
Yacht Club,other
Yak,animal
Yam,object
Yoke,object
Yolk,object
Yorkie,animal
Yoshi,humanoid
You,other
Young Bruce Wayne,human
Zebra,animal
Zebra Foal,animal
Zelda,human
Zero,other
Zipper,object
Zoey,human
Zombie,humanoid
Zoo,object
Zookeeper,human
Zucchini,object
Éclair,object
